页面,中文,lkey,英文,印尼语,泰语,越南语,马来语,截图,,
个人中心-Me,所在赛区,PersonalCenterPage_Division,My Division,Lokasi,ภูมิภาคของฉัน,Khu vực sở tại,Zon Pertandingan,,,
,我的钱包,PersonalCenterPage_Wallet,My Wallet,Dompet saya,กระเป๋าเงินของฉัน,Ví tiền của tôi,Dompet Saya,,,
,评价我们,PersonalCenterPage_Review,Review Us,Beri kami nilai,ให้คำประเมินกับเรา,Đánh giá chúng tôi,Menilai Kami,,,
,意见反馈,PersonalCenterPage_Feedback,Feedback,Umpan balik,ความคิดเห็นและผลสะท้อนกลับ,Ý kiến phản hồi,Maklum Balas,,,
,邀请好友,PersonalCenterPage_Invitation,Invite Friends,Undang teman,เชิญชวนเพื่อน,Mời bạn bè,Jemput Kawan,,,
,设置,PersonalCenterPage_Settings,Settings,Pengaturan,การตั้งค่า,Cài đặt,Seting,,,
我的钱包,我的钱包,WalletPage_Mine,My Wallet,Dompet saya,กระเป๋าเงินของฉัน,Ví tiền của tôi,Dompet Saya,,,
,金币,WalletPage_GoldCoins,Gold Coins,Koin emas,เหรียญทอง,Tiền xu vàng,Syiling Emas,,,
,金币明细,WalletPage_GoldDetails,Gold Coins Details,Detail koin emas,รายละเอียดเหรียญทอง,Chi tiết tiền xu vàng,Detil Syiling Emas,,,
,兑换钻石,WalletPage_ExchangeDiamonds,Exchange Diamonds,Tebus berlian,แลกเพชร,Đổi kim cương,Tukar berlian,,,
,如何赚金币,WalletPage_GetCoins,How to get Gold Coins,Cara mendapatkan koin emas,วิธีการหารายได้เหรียญทอง,Làm thế nào kiếm tiền xu vàng,Bagaimana mendapat syiling emas,,,
,钻石,WalletPage_Diamonds,Diamonds,Diamond,เพชร,Kim cương,Berlian,,,
,钻石明细,WalletPage_DiamondDetails,Diamonds Details,Detail berlian,รายละเอียดเพชร,Chi tiết kim cương,Detil Berlian,,,
,兑换商品,WalletPage_ExchangeGoods,Exchange Goods,Tukarkan barang,แลกสินค้า,Đổi vật phẩm,Tukar barang,,,
,充值,WalletPage_Recharge,Recharge,Isi ulang,เติมเงิน,Nạp tiền,Isi Wang,,,
,提现,WalletPage_Withdraw,Withdraw,Penarikan,ถอนเงินสด,Rút tiền,Keluarkan Wang,,,
,兑换金币,WalletPage_ExchangeGold,Exchange Gold Coins,Gunakan koin emas,แลกเหรียญทอง,Đổi tiền xu vàng,Tukar Syiling Emas,,,
profile页,t%前在线,ProfilePage_OnlineTime,Online t% ago,Sebelum t% online,ออนไลน์เมื่อ t% ที่แล้ว,t% trước online,Dalam talian sebelum t% jam ,,,
,在线,ProfilePage_Online,Online,Online,ออนไลน์,Online,Dalam Talian,,,
,【s%】游戏中,ProfilePage_Gaming,Playing 【s%】 now,[s%] dalam game,【s%】กำลังเล่นเกมอยู่,[s%] đang trong trò chơi,【s%】sedang bermain,,,
,荣誉墙,ProfilePage_Wall,Wall of Fame,Tembok kehormatan,กำแพงแห่งเกียรติยศ,Bức tường danh dự,Dinding Anugerah,,,
