页面,中文,lkey,英文,印尼语,泰语,越南语,马来语,截图,,
充值页,购买钻石,RechargePage_PurchaseDiamonds,Purchase Diamonds,Beli berlian,ซื้อเพชร,Mua kim cương,Beli berlian,,,
,你当前拥有s%个钻石，直接购买或用金币兑换,RechargePage_Tips,"You currently have s% Diamonds, purchase some or exchange with Gold Coins","Saat ini Anda memiliki% berlian, beli secara langsung atau tukarkan dengan koin emas.",ตอนนี้คุณมีเพชร s% อัน คุณจะซื้อเพชรโดยตรงหรือแลกเพชรด้วยเหรียญทอง,"Hiện bạn đang có s% kim cương, trực tiếp mua hoặc dùng tiền xu vàng đổi","Anda mempunyai s% berlian sekarang,terus beli atau tukar dengan syiling emas",,,
,如果您遇到问题，反馈给我们,RechargePage_Feedback,"If you meet with any problem, please send your feedback to us","Jika Anda memiliki masalah, umpan balik kepada kami",หากคุณพบปัญหาใด กรุณาฝากข้อความกับเรา,"Nếu bạn gặp vấn đề, hãy phản hồi với chúng tôi","Jika anad menghadapi masalah, sila beritahu kami",,,
,支付失败,RechargePage_FailedTips,Payment Failed,Pembayaran gagal,การชำระเงินล้มเหลว,Thanh toán thất bại,Pembayaran gagal,,,
金币兑换钻石页,金币兑换钻石,GoldForDiamondPage_GoldForDiamond,Exchange Diamonds with Gold Coins,Koin emas bertukar berlian,การแลกเพชรด้วยเหรียญทอง,Tiền xu vàng đổi kim cương,Syiling emas tukar berlian,,,
,每天只可以兑换一次哦~,GoldForDiamondPage_Tips,You can exchange only once a day~,Hanya tukarkan sekali sehari ~,แลกได้แค่วันละหนึ่งครั้ง,Mỗi ngày chỉ có thể đổi một lần nhé~,Hanya boleh tukar sekali setiap hari,,,
,当前拥有金币数,GoldForDiamondPage_GoldNumber,Current Gold Coins,Jumlah koin emas saat ini,เหรียญทองที่มีอยู่ตอนนี้,Số tiền xu vàng hiện có,Jumlah Syiling Emas,,,
,当前拥有钻石数,GoldForDiamondPage_DiamondNumber,Current Diamonds,Jumlah berlian saat ini,เพชรที่มีอยู่ตอนนี้,Số kim cương hiện có,Jumlah Berlian,,,
,去充值,GoldForDiamondPage_Recharge,Recharge,Isi ulang,ไปเติมเงิน,Nạp tiền,Isi wang,,,
,确定用s%金币兑换s%颗钻石吗？,GoldForDiamondPage_ConfirmInfo,Are you sure you want to exchange s% Diamonds with s% Gold Coins?,Anda yakin ingin menukarkan berlian% s dengan% emas?,ยืนยันจะแลกเพชร s% อันด้วยเหรียญทอง s% อันไหม,Xác nhận dùng s% tiền xu vàng đổi s% kim cương không?,Pastikan tukar s% berlian dengan s% syiling emas?,,,
,金币不足,GoldForDiamondPage_NotEnoughTips,Not enough Gold Coins,Kekurangan koin emas,เหรียญทองไม่เพียงพอ,Tiền xu vàng không đủ,Syiling emas tidak cukup,,,
,每天只可以兑换一次哦，请明天再来,GoldForDiamondPage_Tips,You can exchange only once a day. Please come again tomorrow,"Hanya tukarkan sekali sehari, silakan kembali besok.",แลกได้แค่วันละหนึ่งครั้ง กรุณามาใหม่พรุ่งนี้,"Mỗi ngày chỉ có thể đổi 1 lần, vui lòng quay lại vào ngày mai","Hanya boleh tukar sekali setiap hari, besok datang lagi",,,
钻石兑换金币,钻石兑换金币,DiamondForGoldPage_DiamondForGold,Exchange Gold Coins with Diamonds,Koin emas pertukaran berlian,แลกเหรียญทองด้วยเพชร,Kim cương đổi tiền xu vàng,Berlian Tukar Syiling Emas,,,
,确定用s%颗钻石兑换s%金币吗？,DiamondForGoldPage_ConfirmInfo,Are you sure you want to exchange s% Gold Coins with s% Diamonds?,Apakah Anda yakin ingin menukar berlian% s untuk koin emas%?,ยืนยันจะแลกเหรียญทอง s% อันด้วยเพชร s% อันไหม,Xác nhận dùng s% kim cương đổi s% tiền xu vàng không?,Pastikan tukar s% syiling emas dengan s% berlian ?,,,
,钻石不足,DiamondForGoldPage_NotEnoughTips,Not enough Diamonds,Berlian tidak mencukupi,เพชรไม่เพียงพอ,Kim cương không đủ,Berlian tidak cukup,,,
