

页面,中文,Key,英文,印尼语,泰语,越南语,马来语,截图,,,,,
登录页,请选择登录方式,LoginPage_SelectWay,Please select the way to sign in,Silakan pilih metode login,กรุณาเลือกวิธีการเข้าสู่ระบบ,Hãy chọn phương thức đăng nhập,Pilih Cara Daftar,,,,,,
,Facebook登录,LoginPage_WithFacebook,Continue with Facebook,Login Facebook,เข้าสู่ระบบด้วย Facebook,Đăng nhập bằng Facebook,Daftar dengan Facebook,,,,,,
,Google登录,LoginPage_WithGoogle,Continue with Google,Login Google ,เข้าสู่ระบบด้วย Google,Đăng nhập bằng Google,Daftar dengan Google,,,,,,
,手机号登录,LoginPage_WithPhone,Continue with Phone Number,Login nomor ponsel,เข้าสู่ระบบด้วยเบอร์โทรศัพท์มือถือ,Đăng nhập bằng số điện thoại,Daftar dengan nombor telefon,,,,,,
,我们不会在您的社交账号上发布任何信息，使用Ready表示你同意我们的使用条款和隐私条款,LoginPage_Agreement,We will not post anything on your social network account. By using Ready you agree to our Terms of Use and Privacy Policy.,Kami tidak akan memposting informasi apa pun di akun sosial Anda. Dengan menggunakan Ready Anda menyetujui Ketentuan Penggunaan dan Kebijakan Privasi kami.,เราจะไม่ประกาศข้อมูลใด ๆ ในบัญชีโซเซียลของคุณ การที่คุณใช้งานแอพ Ready แสดงว่าคุณเห็นชอบข้อกำหนดการใช้งานและนโยบายความเป็นส่วนตัวของเรา,"Chúng tôi sẽ không đăng tải bất cứ thông tin nào lên tài khoản xã hội của bạn, sử dụng Ready đồng nghĩa bạn đồng ý với Điều Khoản Dịch Vụ và Chính Sách Bảo Mật của chúng tôi","Kami tidak akan menyebar sebarang maklumat dalam akaun media sosial anda, penggunaan Ready bermaksud anda setuju dengan syarat-syarat penggunaan dan privasi",,,,,,
注册页,用户名,RegisterPage_UserName,Username,Nama pengguna,ชื่อผู้ใช้,Tên người dùng,Nama Pengguna,,,,,,
,生日,RegisterPage_Birthday,Date of Birth,Ulang tahun,วันเดือนปีเกิด,Ngày sinh,Hari Lahir,,,,,,
,选择国家赛区,RegisterPage_SelectCountry,Select Country Division,Pilih divisi nasional,เลือกภูมิภาคและประเทศ,Chọn quốc gia,Pilih Negara,,,,,,
,邀请码（选填）,RegisterPage_InvitationCode,Invitation Code (If Available),Kode undangan (opsional),รหัสเชิญ (ข้อเลือก),Mã giới thiệu (Chọn điền),Kod Jemputan (boleh pilih),,,,,,
,选择你的性别,RegisterPage_SelectGender,Select Gender,Pilih jenis kelamin Anda,เลือกเพศของคุณ,Chọn giới tính của bạn,Pilih Jatina Anda,,,,,,
,性别为不可重置项，请确认,RegisterPage_GenderTips,Please confirm the gender which cannot be reset,"Jenis kelamin tidak dapat disetel ulang, harap konfirmasikan",รายการเพศเป็นรายการที่รีเซ็ตมิได้ กรุณายืนยันอีกครั้ง,"Giới tính không thể cài đặt lại, hãy xác nhận","Jantina tidak boleh diubah nanti, sila pastikan",,,,,,
,完成,RegisterPage_Done,Done,Selesai,เสร็จสิ้น,Hoàn thành,Selesai,,,,,,
头像-选择本地相册,相机胶卷,SelectPhotoPage_Album,Album,Film kamera,แกลเลอรีรูปภาพ,Cuộn camera,Foto Kamera,,,,,,
,取消,SelectPhotoPage_Cancle,Cancel,Batalkan,ยกเลิก,Hủy,Batal,,,,,,
,确定,SelectPhotoPage_Done,Done,Tentukan,ยืนยัน,Xác nhận,Pasti,,,,,,
选择国家赛区,选择国家赛区,SelectCountryPage_SelectCountry,Select Country Division,Pilih divisi nasional,เลือกภูมิภาคและประเทศ,Chọn quốc gia,Pilih Negara,,,,,,
,当前定位国家,SelectCountryPage_Location,Location,Negara posisi saat ini,ประเทศที่กำหนดตามตำแหน่งปัจจุบัน,Quốc gia định vị hiện tại,Negara Lokasi Anda,,,,,,
,热门国家,SelectCountryPage_Hot,Hot,Negara yang populer,ประเทศยอดนิยม,Quốc gia được chọn nhiều,Negara Popular,,,,,,
,其他国家,SelectCountryPage_Other,Other,Negara lain,ประเทศอื่น ๆ ,Quốc gia khác,Negara Lain,,,,,,
,国家赛区是不可重置项，请确认,SelectCountryPage_Tips,The country division cannot be reset. Please confirm your choice.,"Divisi Nasional tidak dapat disetel ulang, harap konfirmasikan",รายการภูมิภาคและประเทศเป็นรายการที่รีเซ็ตมิได้ กรุณายืนยันอีกครั้ง,"Quốc gia không thể cài đặt lại, hãy xác nhận","Negara tidak boleh diubah nanti, sila pastikan",,,,,,
,点击重新获取,SelectCountryPage_TapToRegain,Tap to regain,Klik untuk kembali,คลิกเพื่อรับใหม่อีกครั้ง,Nhấp vào lấy lại,Tekan untuk mendapat sekali lagi,,,,,,
注册页错误提示,20个字符以内，必填项,RegisterPage_UserNameTips,"Within 20 characters, required","Dalam 20 karakter, diperlukan",ต้องไม่เกิน 20 อักษรและห้ามเว้นว่าง,"Trong khoảng 20 ký tự, bắt buộc điền","Tidak boleh melebihi 20 huruf, wajib diisi",,,,,,
,请填写用户名,RegisterPage_FillUserName,Please fill in the username,Silakan isi nama pengguna,กรุณากรอกชื่อผู้ใช้,Hãy điền tên người dùng,Sila Isikan Nama Pengguna,,,,,,
,请填写生日,RegisterPage_FillBirthday,Please fill in the date of birth,Harap isi ulang tahun,กรุณากรอกวันเดือนปีเกิด,Hãy điền ngày sinh,Sila Isikan Hari Lahir,,,,,,
,请选择国家赛区,RegisterPage_Selectcountry,Please select the country division,Silakan pilih divisi nasional,กรุณาเลือกภูมิภาคและประเทศ,Hãy chọn quốc gia,Sila Pilih Negara,,,,,,
,请选择性别,RegisterPage_FillGender,Please select the gender,Silakan pilih jenis kelamin,กรุณาเลือกเพศ,Hãy chọn giới tính,Sila Pilih Jantina,,,,,,



页面,中文,Key,英文,印尼语,泰语,越南语,马来语,截图
首页,日常任务,MainPage_Task,Daily Tasks,Tugas harian,ภารกิจประจำวัน,Nhiệm vụ hàng ngày,Tugas Harian,
,签到,MainPage_Checkin,Check-in,Masuk,รายงานตัว,Báo danh,Tandatangani ,
,商城,MainPage_Shop,Shop,Mall,ห้างสรรพสินค้า,Trung tâm thương mại,Kedai,
,邀请好友,MainPage_Invitation,Invite Friends,Undang teman,เชิญชวนเพื่อน,Mời bạn bè,Jemput Kawan,
,排行榜,MainPage_Ranking,Ranking,Spanduk utama,ลีดเดอร์บอร์ด,Bảng xếp hạng,Ranking,
,竞技PK场,MainPage_Arena,Arena,Bidang PK atletik,สนามรบ,Sàn đấu PK,Arena PK,
,随机进入游戏,MainPage_RadomGame,Random Game,Akses acak ke game,สุ่มเกม,Tham gia trò chơi ngẫu nhiên,Masuk permainan secara rambang,
,s%人正在玩,MainPage_Playing,s% users are currently playing,s% orang sedang bermain,มี s% คนกำลังเล่นเกมอยู่,s% người đang chơi,s% orang sedang bermain,
,,,,,,,,



页面,中文,key,英文,印尼语,泰语,越南语,马来语,截图,,
个人中心-Me,所在赛区,PersonalCenterPage_Division,My Division,Lokasi,ภูมิภาคของฉัน,Khu vực sở tại,Zon Pertandingan,,,
,我的钱包,PersonalCenterPage_Wallet,My Wallet,Dompet saya,กระเป๋าเงินของฉัน,Ví tiền của tôi,Dompet Saya,,,
,评价我们,PersonalCenterPage_Review,Review Us,Beri kami nilai,ให้คำประเมินกับเรา,Đánh giá chúng tôi,Menilai Kami,,,
,意见反馈,PersonalCenterPage_Feedback,Feedback,Umpan balik,ความคิดเห็นและผลสะท้อนกลับ,Ý kiến phản hồi,Maklum Balas,,,
,邀请好友,PersonalCenterPage_Invitation,Invite Friends,Undang teman,เชิญชวนเพื่อน,Mời bạn bè,Jemput Kawan,,,
,设置,PersonalCenterPage_Settings,Settings,Pengaturan,การตั้งค่า,Cài đặt,Seting,,,
我的钱包,我的钱包,WalletPage_Mine,My Wallet,Dompet saya,กระเป๋าเงินของฉัน,Ví tiền của tôi,Dompet Saya,,,
,金币,WalletPage_GoldCoins,Gold Coins,Koin emas,เหรียญทอง,Tiền xu vàng,Syiling Emas,,,
,金币明细,WalletPage_GoldDetails,Gold Coins Details,Detail koin emas,รายละเอียดเหรียญทอง,Chi tiết tiền xu vàng,Detil Syiling Emas,,,
,兑换钻石,WalletPage_ExchangeDiamonds,Exchange Diamonds,Tebus berlian,แลกเพชร,Đổi kim cương,Tukar berlian,,,
,如何赚金币,WalletPage_GetCoins,How to get Gold Coins,Cara mendapatkan koin emas,วิธีการหารายได้เหรียญทอง,Làm thế nào kiếm tiền xu vàng,Bagaimana mendapat syiling emas,,,
,钻石,WalletPage_Diamonds,Diamonds,Diamond,เพชร,Kim cương,Berlian,,,
,钻石明细,WalletPage_DiamondDetails,Diamonds Details,Detail berlian,รายละเอียดเพชร,Chi tiết kim cương,Detil Berlian,,,
,兑换商品,WalletPage_ExchangeGoods,Exchange Goods,Tukarkan barang,แลกสินค้า,Đổi vật phẩm,Tukar barang,,,
,充值,WalletPage_Recharge,Recharge,Isi ulang,เติมเงิน,Nạp tiền,Isi Wang,,,
,提现,WalletPage_Withdraw,Withdraw,Penarikan,ถอนเงินสด,Rút tiền,Keluarkan Wang,,,
,兑换金币,WalletPage_ExchangeGold,Exchange Gold Coins,Gunakan koin emas,แลกเหรียญทอง,Đổi tiền xu vàng,Tukar Syiling Emas,,,
profile页,t%前在线,ProfilePage_OnlineTime,Online t% ago,Sebelum t% online,ออนไลน์เมื่อ t% ที่แล้ว,t% trước online,Dalam talian sebelum t% jam ,,,
,在线,ProfilePage_Online,Online,Online,ออนไลน์,Online,Dalam Talian,,,
,【s%】游戏中,ProfilePage_Gaming,Playing 【s%】 now,[s%] dalam game,【s%】กำลังเล่นเกมอยู่,[s%] đang trong trò chơi,【s%】sedang bermain,,,
,荣誉墙,ProfilePage_Wall,Wall of Fame,Tembok kehormatan,กำแพงแห่งเกียรติยศ,Bức tường danh dự,Dinding Anugerah,,,
,竞技PK场-世界排名,ProfilePage_ArenaWorldRanking,Arena-World Ranking,Lapangan PK Atletik - Ranking Dunia,สนามรบ - อันดับโลก,Sàn đấu PK-Xếp hạng thế giới,Arena PK-Ranking Dunia,,,
,竞技PK场-赛区排名,ProfilePage_ArenaDivisionRanking,Arena-Division Ranking,Lapangan PK Atlet - Peringkat Divisi,สนามรบ - อันดับภูมิภาค,Sàn đấu PK-Xếp hạng khu vực,Arena PK-Ranking Negara,,,
,高端擂台场-世界排名,ProfilePage_TopArenaWorldRanking,Top Arena-World Ranking,Tahap high-end - peringkat dunia,สนามรบชั้นสูง - อันดับโลก,Đấu trường cấp cao - Xếp hạng thế giới,Arena PK bertaraf tinggi-Ranking Dunia,,,
,高端擂台场-赛区排名,ProfilePage_TopArenaDivisionRanking,Top Arena-Division Ranking,Tahap high-end - peringkat,สนามรบชั้นสูง - อันดับภูมิภาค,Đấu trường cấp cao - Xếp hạng khu vực,Arena PK bertaraf tinggi-Ranking Negara,,,
,常玩的游戏,ProfilePage_FrequentGame,Frequently Played Games,Game yang sering dimainkan,เกมที่เล่นบ่อย,Game thường chơi,Permainan yang selalu main,,,
,胜率s%,ProfilePage_WinningPercentage,Winning Percentage s%,Menangkan tingkat%,อัตราการชนะ s%,Tỷ lệ thắng s%,Kadar menang s%,,,
,添加好友,ProfilePage_AddFriends,Add Friends,Tambahkan teman,เพิ่มผู้ติดต่อ,Thêm bạn,Tambah Kawan,,,
,举报,ProfilePage_Report,Report,Laporkan,รายงาน,Tố cáo,Mengadu,,,
,取消,ProfilePage_Cancel,Cancel,Batalkan,ยกเลิก,Hủy,Batal,,,
,发送好友验证,ProfilePage_FriendVerification,Send Friend Verification,Kirim verifikasi teman,ส่งคำขอเป็นเพื่อน,Gửi thông điệp xác nhận,Kirim pengesahan kawan,,,
,发送,ProfilePage_Send,Send,Kirim,ส่ง,Gửi đi,Kirim ,,,
,我是s%，加个好友吧~,ProfilePage_VerificationInfo,"I'm s%, come play with me~","Saya%, tambahkan teman ~",ฉันคือ s% ขอเป็นเพื่อนกับคุณ,"Tôi là s%, kết bạn nhé~","Saya s%, sila tambah saya sebagai kawan!",,,
,操作过于频繁，请耐心等待,ProfilePage_OperationTips,Operations are too frequent. Please try again later.,"Operasi terlalu sering, harap bersabar",คุณดำเนินการบ่อยเกินไป กรุณาอดทนรอ,"Thao tác quá nhiều làn, vui lòng kiên nhẫn chờ đợi","Kerap bertindak, sila tunggu sebentar",,,
,删除好友,ProfilePage_DeleteFriends,Delete Friends,Hapus teman,ลบผู้ติดต่อ,Xóa bạn bè,Padam Kawan,,,
,删除好友后，将不再收到该好友的消息。确定删除吗？,ProfilePage_DeleteInfo,Messages from the friend will no longer be received after deleting. Are you sure you want to delete?,"Setelah menghapus teman, pesan teman tidak akan diterima lagi. Anda yakin ingin menghapus?",หากคุณลบผู้ติดต่อแล้ว จะรับข้อความจากผู้ติดต่อคนนี้อีกไม่ได้ ยืนยันจะลบไหม,Sau khi xóa bạn bè sẽ không nhận được bất cứ tin nhắn nào của bạn bè. Có xác nhận xóa không?,"Setelah padam kawan, anda tidak akan mendapat mesej daripada kawan itu. Pasti padam?",,,
,确定,ProfilePage_Confirm,Confirm,Tentukan,ยืนยัน,Xác nhận,Pasti,,,
,编辑资料,ProfilePage_EditInfo,Edit Information,Mengedit informasi,แก้ไขข้อมูล,Chỉnh sửa thông tin,Edit Maklumat,,,
举报,请选择举报理由,ReportPage_ReportReason,Please select the reason for reporting,Silakan pilih alasan untuk melaporkan,กรุณาเลือกเหตุผลสำหรับรายงาน,Hãy chọn lý do báo cáo,Pilih sebab aduan,,,
