页面,中文,lkey,英文,印尼语,泰语,越南语,马来语,截图,,,
消息列表,消息,MessageList_,Messages,Pesan,ข้อความ,Tin nhắn,Mesej,,,,
,好友,MessageList_,Friends,Teman,เพื่อน,Bạn bè,Kawan,,,,
,没有网络连接,MessageList_NetworkDisconnected,Network disconnected,Tidak ada koneksi internet,ไม่มีการเชื่อมต่ออินเทอร์เน็ต,Không kết nối mạng,Interneti tidak dihubungi,,,,
,开启通知，不要错过好友的约战和消息哦,MessageList_NotificationTips,Enable notification and don't miss invitations and messages from your friends,"Aktifkan pemberitahuan, jangan lewatkan janji dan berita teman Anda.",เปิดใช้งานข้อความแจ้งเตือน คุณจะไม่พลาดข้อความและการนัดเล่นเกมของเพื่อน,"Mở thông báo, đừng bỏ qua tin nhắn và lời hẹn thi đấu của bạn bè nhé","Aktif Pemberitahuan, jangan lepas permintaan dan mesej kawan",,,,
,立即开启,MessageList_EnableNow,Enable now,Buka sekarang,เปิดใช้งานเดี่ยวนี้,Lập tức mở,Mulai segera,,,,
,删除,MessageList_Delete,Delete,Hapus,ลบ,Xóa,Padam,,,,
,草稿,MessageList_Draft,Draft,Draf,ร่าง,Bản nháp,Draf,,,,
,发起约战,MessageList_Invite,Invite,Mulai pertempuran,นัดเล่นเกมกับเพื่อน,Gửi lời hẹn thi đấu,Meminta bermain,,,,
添加好友,添加好友,AddFriendsPage_AddFriends,Add Friends,Tambahkan teman,เพิ่มผู้ติดต่อ,Thêm bạn bè,Tambah kawan,,,,
,输入好友ID,AddFriendsPage_EnterID,Enter the ID,Masukkan ID teman,ป้อนไอดีของเพื่อน,Nhập ID của bạn bè,Masukkan ID kawan,,,,
,“邀请好友得钻石哟！”,AddFriendsPage_InvitationGetDiamonds,"""Invite friends to get Diamonds!""","""Undang teman untuk mendapatkan berlian!""",“เชิญชวนเพื่อนมาเล่นด้วยและรับเพชรฟรี”,"""Mời kết bạn giành kim cương!""","""Mendapat berlian jika jemput kawan!""",,,,
,好友请求,AddFriendsPage_Request,Request,Permintaan pertemanan,คำขอเป็นเพื่อน,Yêu cầu kết bạn,Permintaan kawan,,,,
,同意,AddFriendsPage_Agree,Agree,Setuju,เห็นด้วย,Đồng ý,Setuju,,,,
,已添加,AddFriendsPage_Added,Added,Ditambahkan,เพื่อนที่เพิ่มเติมแล้ว,Đã thêm,Sudah tambah,,,,
,已过期,AddFriendsPage_Expired,Expired,Kadaluarsa,คำขอที่เกินเวลากำหนด,Đã quá hạn,Lampau tempoh,,,,
,搜索,AddFriendsPage_Search,Search,Pencarian,ค้นหา,Tìm kiếm,Mencari,,,,
,已成功添加为好友,AddFriendsPage_AddedAsFriend,Added as friend,Telah berhasil ditambahkan sebagai teman,ได้เพิ่มเติมเป็นเพื่อนแล้ว,Đã thêm bạn thành công,Sudah ditambah sebagai kawan,,,,
好友列表,全部好友（s%）,FriendsListPage_AllFriends,All friends (s%),Semua teman (s%),เพื่อนทั้งหมด （s%）,Toàn bộ bạn bè (s%),Semua Kawan（s%）,,,,
,约玩,FriendsListPage_Invite,Invite,Tentang bermain,นัดเล่นเกมด้วยกัน,Hẹn chơi,Meminta bermain,,,,
,加入,FriendsListPage_Join,Join,Bergabunglah,เข้าร่วม,Gia nhập,Sertai,,,,
