页面,中文,lkey,英文,印尼语,泰语,越南语,马来语,截图
日常任务,奖励：s%金币,TaskPage_Reward,Reward: s% Gold Coins,Hadiah: s% koin emas,โบนัส ： เหรียญทอง s% อัน,Thưởng: s% tiền xu vàng,Hadiah: s% Syiling Emas,
,领取,TaskPage_Receive,Receive,Terima,รับ,Nhận,Mendapat,
,进行中,TaskPage_Ongoing,Ongoing,Sedang berlangsung,กำลังดำเนินการอยู่,Đang xử lý,Sedang Uruskan,
,已领取,TaskPage_Received,Received,Diterima,รับแล้ว,Đã nhận,Sudah Mendapat,
,日常任务,TaskPage_Task,Daily Tasks,Tugas harian,ภารกิจประจำวัน,Nhiệm vụ hàng ngày,Tugas Harian,
,成功邀请s%个好友,TaskPage_Invite,Invite s% friends,Berhasil mengundang% teman,ได้เชิญชวนเพื่อนที่มาใช้งานใหม่ s% คน,Mời thành công s% bạn,Berjaya jemput s% orang kawan,
,玩s%局1v1PK游戏,TaskPage_PVP,Play s% 1V1 PVP games,Mainkan permainan% bureau 1v1PK,ได้เล่มเกม 1v1 s% เกม,Chơi s% ván trò chơi PK1v1,Main Permainan PK 1v1 s% kali ,
,玩s%局单人游戏,TaskPage_Single,Play s% single-player games,Mainkan% papan permainan pemain tunggal,ได้เล่มเกมคนเดียว s% เกม,Chơi s% ván trò chơi một người,Main Permainan Seseorang s% kali ,
,玩s%局付费场游戏,TaskPage_PaidGames,Play s% paid games,Mainkan game bayar per tampilan% bi,ได้เล่มเกมที่ต้องชำระเงิน s% เกม,Chơi s% ván trò chơi mất phí,Main Permainan Berbayar s% kali,
,成功添加s%个好友,TaskPage_AddNewFriends,Add s% new friends,Berhasil menambahkan% teman,ได้เพิ่มเติมผู้ติดต่อ s% คน,Thêm s% bạn thành công,Berjaya tambah  s% orang kawan,
,世界喊话发送s%条弹幕,TaskPage_WorldChannelPost,Post s% on-screen comments on World Channel,Teriakan dunia mengirim% sambaran,ได้ส่งข้อความ Bullet Screen s% ข้อในช่องทางทั่วโลก,Kênh chat thế giới gửi s% bình luận trên màn hình,Kirim  s% mesej dalam Panggilan Dunia,
,玩1v1PK游戏胜利s%局,TaskPage_WinGame,Win s% games in 1V1 PVP,Mainkan game 1v1PK memenangkan% game,ได้ชนะเกม 1v1 s% เกม,Chơi trò chơi PK1v1 thắng s% ván,Menang s% kali dalam Permainan PK 1v1 ,
,和s%个好友玩1v1PK游戏,TaskPage_PlayWithFriends,Play the 1V1 PVP game with s% friends,Mainkan game 1v1PK dengan s% teman,ได้เล่มเกม 1v1 กับเพื่อน s% คน,Chơi trò chơi PK1v1 với s% bạn bè,Main Permainan PK 1v1 dengan s% orang kawan,
,和成功邀请的好友玩s%局1v1PK游戏,TaskPage_PlayWithFriendsInvited,Play s% 1V1 PVP games with a friend you've invited,Mainkan game biro 1v1PK dengan teman-teman yang diundang sukses,ได้เล่มเกม 1v1 s% เกมกับเพื่อนที่คุณชวนมาใช้งานแอพ,Chơi s% ván trò chơi PK 1v1 với bạn bè đã mời thành công,Main Permainan PK 1v1 dengan s% orang kawan yang kamu jemput,
,充值s%次,TaskPage_Recharge,Recharge s% times,Isi ulang s% kali,เติมเงิน s% ครั้ง,Nạp tiền s% lần,Isi wang  s% kali ,
签到,每日签到奖励,CheckInPage_DailyCheckIn,Daily Check-in Rewards,Hadiah check-in harian,โบนัสสำหรับรายงานตัวประจำวัน,Thưởng báo danh mỗi ngày,Hadiah Kedatangan Harian,
,第一天,CheckInPage_Day1,Day 1,Hari pertama,วันที่ 1,Ngày thứ nhất,Hari Pertama,
,第二天,CheckInPage_Day2,Day 2,Keesokan harinya,วันที่ 2,Ngày thứ hai,Hari Kedua,
,第三天,CheckInPage_Day3,Day 3,Hari ketiga,วันที่ 3,Ngày thứ ba,Hari Ketiga,
,第四天,CheckInPage_Day4,Day 4,Hari keempat,วันที่ 4,Ngày thứ tư,Hari Keempat,
,第五天,CheckInPage_Day5,Day 5,Hari kelima,วันที่ 5,Ngày thứ năm,Hari Kelima,
,第六天,CheckInPage_Day6,Day 6,Hari keenam,วันที่ 6 ,Ngày thứ sáu,Hari Keenam,
,第七天,CheckInPage_Day7,Day 7,Hari ketujuh,วันที่ 7,Ngày thứ bảy,Hari Ketujuh,
,领取奖励,CheckInPage_Receive,Receive Rewards,Terima hadiah,รับโบนัส,Nhận thưởng,Mendapat hadiah,
,已领取,CheckInPage_Received,Received,Diterima,รับแล้ว,Đã nhận,Sudah mendapat,
,每周签到领好礼,CheckInPage_WeeklyCheckinGetRewards,Get rewards with Weekly Check-in,Pendaftaran mingguan dapat hadiah,ของขวัญสำหรับรายงานตัวประจำอาทิตย์,Báo danh mỗi tuần nhận hào lễ,Datang setiap minggu untuk dapat hadiah,
领取奖励蒙层,奖励s%金币,ReceiveRewardsDialog_GetGoldCoins,Get 20 Gold Coins,Beri imbalan koin emas%,แจกโบนัสเหรียญทอง s% อัน,Thưởng s% tiền xu vàng,Hadiahkan s% syiling emas,
,确定,ReceiveRewardsDialog_OK,OK,Tentukan,ยืนยัน,Xác nhận,Pasti,
