页面,中文,lkey,英文,印尼语,泰语,越南语,马来语,截图
加载到最底部,已加载全部内容,AllPage_AllContentsLoaded,All contents loaded,Memuat semua konten,ได้โหลดเนื้อความทั้งหมดแล้ว,Đã tải toàn bộ nội dung,Semua isi sudah dimuat,
超字符Toast提示,已经超过最大字符限制，请重新编辑,AllPage_CharacterLimitTips,"The maximum character limit has been exceeded, please re-edit","Batas karakter maksimum telah terlampaui, silakan edit ulang",จำนวนอักษรเกินจำนวนสูงสุดแล้ว กรุณาแก้ไขอีกครั้ง,"Đã vượt quá giới hạn ký tự tối đa, hãy soạn lại","Sudah melebihi batasan huruf, sila edit lagi",
被封禁Toast提示,当前的账号不可用，已被封禁,AllPage_Banned,The current account has been banned and is not available ,Akun saat ini tidak tersedia dan telah dilarang,บัญชีนี้ใช้ไม่ได้ เพราะถูกสั่งห้ามใช้งานแล้ว,"Tài khoản hiện tại không khả dụng, đã bị đóng","ID tidak boleh digunakan, sudah diblok",
账号被踢,你的账号在其他设备上登录，请重新登录,AllPage_SignInAgain,"Your account has been signed in on another device, please sign in again","Akun Anda masuk di perangkat lain, harap masuk lagi",บัญชีคุณได้เข้าสู่ระบบด้วยอุปกรณ์อื่น กรุณาเข้าสู่ระบบใหม่อีกครั้ง,"Tài khoản của bạn đã đăng nhập trên thiết bị khác, hãy đăng nhập lại","ID itu sudah log masuk di mesin yang lain, sila log masuk lagi",
敏感词Toast提示,包含敏感信息，请重新编辑,AllPage_SensitiveInformation ,"Sensitive information contained, please re-edit","Berisi informasi sensitif, silakan edit kembali",มีข้อมูลอ่อนไหวด้วย กรุณาแก้ไขใหม่อีกครั้ง,"Gồm thông tin nhạy cảm, hãy soạn lại","Mengandungi maklumat sensitif, sila edit lagi",
push,s%申请添加你为好友,AllPage_AppliesToAdd,s% applies to add you as a friend,s% aplikasi untuk menambahkan Anda sebagai teman,s% ขอเป็นเพื่อนกับคุณ,s% yêu cầu kết bạn với bạn,s% meminta tambah anda sebagai kawan,
,签到领金币，你今天还没有签到哦~,AllPage_CheckInRemind,Check in to get gold coins. You haven't checked in today~,"Masuk untuk menerima koin emas, Anda belum masuk hari ini ~",รายงานตัวและรับเหรียญทอง คุณยังไม่รายงานตัวในวันนี้,"Báo danh nhận xu vàng, hôm nay bạn vẫn chưa báo danh~","Tandatangani untuk mendapat syiling emas, anda belum tandatangi hari ini",
,你已经被5名同赛区玩家赶超，速来约战刷榜~,AllPage_SurpassedBy5,You have been surpassed by 5 players in your Division. Fight them and try to rank higher now~,Anda telah diambil alih oleh 5 pemain di area kompetisi yang sama.,ผู้เล่นเกมที่อยู่ในภูมิภาคอันเดียวกัน 5 คนได้ก้าวล้ำหน้าคุณแล้ว คุณรีปมานัดเล่นเกมเพื่อสะสมคะแนนเถอะ,"Bạn đã bị 5 người chơi cùng khu vực vượt qua, mau đi hẹn thi đấu để làm mới bảng xếp hạng~","5 orang pemain zon permainan negara anda sudah melebihi ranking anda, cepat berlawan",
,你已经被10名全球玩家赶超，速来约战刷榜~,AllPage_SurpassedBy10,You have been surpassed by 10 players globally. Fight them and try to rank higher now~,Anda telah dikalahkan oleh 10 pemain global.,ผู้เล่นเกมทั่่วโลก 10 คนได้ก้าวล้ำหน้าคุณแล้ว คุณรีปมานัดเล่นเกมเพื่อสะสมคะแนนเถอะ,"Bạn đã bị 10 người chơi toàn thế giới vượt qua, mau đi hẹn thi đấu để làm mới bảng xếp hạng~","10 orang pemain dunia sudah melebihi ranking anda, cepat berlawan",
,Hi，s%全新上线，叫上Ta一起来战~,AllPage_RemindNewGame,"Hi, s% has just been released. Invite your friends to play together~","Hai, s% online baru, ajak dia untuk bertarung bersama ~",สวัสดี  เวอร์ชั่นใหม่ s% ได้ออนไลน์แล้ว ชวนเขา/เธอมาเล่นเกมด้วยสิ,"Hi, s% mới online, rủ anh ấy/cô ấy cùng nhau đi chiến đấu thôi~","Hi, s% baru dilancarkan, panggil dia bermain bersama-sama!",
,哇哦！K神刚刚在擂台场赢得100000钻石大奖！还不快来？,AllPage_RemindOpenApp,"Wow! Amazing K just won the award of 100,000 Diamonds in the Arena! What are you waiting for?","Wow! Dewa K baru saja memenangkan 100,000 Diamond Award di medan perang! Masih belum datang?",ว้าว ！ K God ได้ชนะรางวัลที่เป็นเพชร 100000 อันในเกมการท้าทาย รีปมาเล่นเกมเลย,Wow! Thần K vừa giành được 100000 kim cương trên đấu trường! Còn không mau đến ?,Alamak! K baru memenangi hadiah 100000 berlian dalam Arena PK! Cepat sertai?,
空页面,暂无内容,AllPage_NoContentsYet,No contents yet,Tanpa konten,ตอนนี้ยังไม่มีเนื้อหา,Hiện chưa có nội dung,Tiada isi,
,暂无排名,AllPage_NoRankingYet,No ranking yet,Belum ada peringkat,ตอนนี้ยังไม่มีการจัดอันดับ,Hiện chưa xếp hạng,Tiada ranking,
,暂无好友,AllPage_NoFriendsYet,No friends yet,Tidak ada teman,ตอนนี้ยังไม่มีเพื่อน,Hiện chưa có bạn bè,Tiada kawan,
