页面,中文,lkey,英文,印尼语,泰语,越南语,马来语,截图,,,,,
随机匹配,当前金币数不足，快去完成任务赚取金币吧~,RandowMatchPage_GoldNotEnough,You don't have enough Gold Coins. Complete the tasks and get some~,"Jumlah koin emas saat ini tidak mencukupi, pergilah untuk menyelesaikan tugas dan mendapatkan koin emas ~",ตอนนี้คุณมีเหรียญทองไม่เพียงพอ รีปไปทำภารกิจให้สมบูรณ์และรับเหรียญทองฟรีเถอะ,"Số tiền xu vàng hiện tại không đủ, mau đi hoàn thành nhiệm vụ kiếm tiền xu vàng nhé~","Syiling emas tidak cukup, cepat membuat tugas untuk mendapat syiling emas",,,,,,
,先不玩了,RandowMatchPage_Quit,Quit,Jangan bermain dulu,ไม่เล่นแล้ว,Tạm thời dừng chơi,Berhenti,,,,,,
,做任务,RandowMatchPage_Task,Tasks,Lakukan tugasnya,ทำภารกิจ,Làm nhiệm vụ,Membuat tugas,,,,,,
,正在匹配,RandowMatchPage_Matching,Matching,Cocok,กำลังจับคู่อยู่,Đang tìm kiếm,Sedang mencari pemain sesuai,,,,,,
,已等待t%秒,RandowMatchPage_WaitingTime,You have been waiting for t% seconds,Telah menunggu t% detik,คอยรอ t% นาทีแล้ว,Đã đợi t% giây,Sudah tunggu t% saat,,,,,,
,正在为你匹配一起玩「s%」的人,RandowMatchPage_MatchingPlayers,Matching players to play 「s%」,"Orang-orang yang memainkan ""s%"" untuk Anda",กำลังจับคู่เกม 「s%」ให้คุณอยู่,Đang tìm kiếm người cùng chơi「s%」với bạn,Sedang mencari pemain「s%」yang sesuai,,,,,,
,匹配成功,RandowMatchPage_Matched,Matched,Pencocokan berhasil,การจับคู่สำเร็จ,Tìm kiếm thành công,Berjaya mencari yang sesuai,,,,,,
,游戏加载中s%,RandowMatchPage_GameLoading,Game Loading s%,Game memuat%,กำลังโหลดเกมอยู่ s%,Đang tải trò chơi s%,Permainan sedang berjalan s%,,,,,,
,退出本局记为认输，是否退出？,RandowMatchPage_QuitDefeat,"If you quit the game you will be seem as admitting your defeat, are you sure you want to quit?","Penarikan dari Dewan ini dicatat sebagai mengaku kalah, apakah itu berhenti?",หากคุณออกจากเกมนี้ จะถือว่าคุณแพ้ ยืนยันจะออกจากเกมหรือไม่,"Thoát ván này sẽ được coi nhận thua, có muốn thoát không?","Dianggap kalah jika keluar, masih ingin keluar?",,,,,,
