页面,中文,lkey,英文,印尼语,泰语,越南语,马来语,截图,
高端擂台场列表,高端擂台场,TopArenaGamePage_TopArena,Top Arena,Platform canggih,เกมในสนามรบชั้นสูง,Đấu trường cấp cao,Arena PK Bertaraf Tinggi,,
,24小时全球擂台财富榜,TopArenaGamePage_GlobalFortune RankingDaily,Global Fortune Ranking in 24 Hours,Platform global 24 jam untuk kekayaan,ลีดเดอร์บอร์ดสำหรับทรัพย์สินทั่วโลกใน 24 ชั่วโมงที่แล้ว,Bảng xếp hạng của cải đấu trường toàn thế giới 24h,Ranking Kekayaan Arena Sedunia dalam 24 Jam,,
,本周全球擂台财富榜,TopArenaGamePage_WeeklyGlobalFortuneRanking,Weekly Global Fortune Ranking,Platform keuangan global minggu ini,ลีดเดอร์บอร์ดสำหรับทรัพย์สินที่วโลกของอาทิตย์นี้,Bảng xếp hạng của cải đấu trường toàn thế giới tuần này,Ranking Kekayaan Arena Sedunia Minggu Ini,,
,敬请期待,TopArenaGamePage_ComingSoon,Coming Soon,Tetap disini,คอยติดตามเรา,Vui lòng đợi,Datang nanti,,
付费场游戏页面,今日收益,FortuneGamePage_DailyEarnings,Daily Earnings,Penghasilan hari ini,รายได้ของวันนี้,Thu hoạch hôm nay,Keuntungan Hari Ini,,
,今日排名,FortuneGamePage_DailyRanking,Daily Ranking,Peringkat hari ini,อับดับของวันนี้,Xếp hạng hôm nay,Ranking Hari Ini,,
,当前账户上钻石数不足，请尝试用金币兑换或直接充值,FortuneGamePage_DiamondsNotEnough,You don't have enough Diamonds on your account. Exchange some with the Gold Coins or recharge,Tidak ada cukup berlian di akun saat ini. Cobalah untuk menebus atau langsung mengisi ulang koin.,บัญชีคุณมีเพชรไม่เพียงพอ กรุณาแลกเพชรด้วยเหรียญทองหรือชำระเงินโดยตรง,"Số kim cương tài khoản hiện tại không đủ, vui lòng thử dùng tiền vàng đổi hoặc nạp tiền trực tiếp",Berlian tidak cukup，sila tukar dengan syiling emas atau terus isi wang,,
,不玩了,FortuneGamePage_Quit,Quit,Tidak bermain,ไม่เล่นแล้ว,Không chơi nữa,Berhenti,,
,去充值,FortuneGamePage_Recharge,Recharge,Isi ulang,ไปเติมเงิน,Đi nạp tiền,Isi wang sekarang,,
,进入该游戏需要消费s%颗钻石，确认消费？,FortuneGamePage_ConfirmDialog,It costs s% Diamonds to start the game. Are you sure you want to spend the Diamonds?,Memasuki permainan membutuhkan pengeluaran% berlian untuk mengkonfirmasi konsumsi?,คุณจะต้องชำระเพชร s% อันเพื่อเข้าเกมนี้ ยืนยันจะชำระเพชรไหม,"Tham gia trò chơi này cần dùng s% kim cương, chắc chắn sử dụng?","Perlu bayar s% berlian untuk main permainan ini,sah bayar?",,
,不再提示,FortuneGamePage_NotRemindAgain,Don't remind me again,Tidak lagi diminta,ไม่ต้องแจ้งอีกต่อไป,Không hiển thị lại,Jangan ingatkan lagi,,
,确认,FortuneGamePage_Ok,OK,Konfirmasikan,ยืนยัน,Xác nhận,Sahkan,,
达人排行榜,今日收益,FortuneRanking_DailyEarnings,Daily Earnings,Penghasilan hari ini,รายได้ของวันนี้,Thu hoạch hôm nay,Keuntungan Hari Ini,,
,本周收益,FortuneRanking_WeeklyEarnings,Weekly Earnings,Penghasilan minggu ini,รายได้ของอาทิตย์นี้,Thu hoạch tuần này,Keuntungan Minggu Ini,,
