页面,中文,lkey,英文,印尼语,泰语,越南语,马来语,截图,,,,,
登录页,请选择登录方式,LoginPage_SelectWay,Please select the way to sign in,Silakan pilih metode login,กรุณาเลือกวิธีการเข้าสู่ระบบ,Hãy chọn phương thức đăng nhập,Pilih Cara Daftar,,,,,,
,Facebook登录,LoginPage_WithFacebook,Continue with Facebook,Login Facebook,เข้าสู่ระบบด้วย Facebook,Đăng nhập bằng Facebook,Daftar dengan Facebook,,,,,,
,Google登录,LoginPage_WithGoogle,Continue with Google,Login Google ,เข้าสู่ระบบด้วย Google,Đăng nhập bằng Google,Daftar dengan Google,,,,,,
,手机号登录,LoginPage_WithPhone,Continue with Phone Number,Login nomor ponsel,เข้าสู่ระบบด้วยเบอร์โทรศัพท์มือถือ,Đăng nhập bằng số điện thoại,Daftar dengan nombor telefon,,,,,,
,我们不会在您的社交账号上发布任何信息，使用Ready表示你同意我们的使用条款和隐私条款,LoginPage_Agreement,We will not post anything on your social network account. By using Ready you agree to our Terms of Use and Privacy Policy.,Kami tidak akan memposting informasi apa pun di akun sosial Anda. Dengan menggunakan Ready Anda menyetujui Ketentuan Penggunaan dan Kebijakan Privasi kami.,เราจะไม่ประกาศข้อมูลใด ๆ ในบัญชีโซเซียลของคุณ การที่คุณใช้งานแอพ Ready แสดงว่าคุณเห็นชอบข้อกำหนดการใช้งานและนโยบายความเป็นส่วนตัวของเรา,"Chúng tôi sẽ không đăng tải bất cứ thông tin nào lên tài khoản xã hội của bạn, sử dụng Ready đồng nghĩa bạn đồng ý với Điều Khoản Dịch Vụ và Chính Sách Bảo Mật của chúng tôi","Kami tidak akan menyebar sebarang maklumat dalam akaun media sosial anda, penggunaan Ready bermaksud anda setuju dengan syarat-syarat penggunaan dan privasi",,,,,,
注册页,用户名,RegisterPage_UserName,Username,Nama pengguna,ชื่อผู้ใช้,Tên người dùng,Nama Pengguna,,,,,,
,生日,RegisterPage_Birthday,Date of Birth,Ulang tahun,วันเดือนปีเกิด,Ngày sinh,Hari Lahir,,,,,,
,选择国家赛区,RegisterPage_SelectCountry,Select Country Division,Pilih divisi nasional,เลือกภูมิภาคและประเทศ,Chọn quốc gia,Pilih Negara,,,,,,
,邀请码（选填）,RegisterPage_InvitationCode,Invitation Code (If Available),Kode undangan (opsional),รหัสเชิญ (ข้อเลือก),Mã giới thiệu (Chọn điền),Kod Jemputan (boleh pilih),,,,,,
,选择你的性别,RegisterPage_SelectGender,Select Gender,Pilih jenis kelamin Anda,เลือกเพศของคุณ,Chọn giới tính của bạn,Pilih Jatina Anda,,,,,,
,性别为不可重置项，请确认,RegisterPage_GenderTips,Please confirm the gender which cannot be reset,"Jenis kelamin tidak dapat disetel ulang, harap konfirmasikan",รายการเพศเป็นรายการที่รีเซ็ตมิได้ กรุณายืนยันอีกครั้ง,"Giới tính không thể cài đặt lại, hãy xác nhận","Jantina tidak boleh diubah nanti, sila pastikan",,,,,,
,完成,RegisterPage_Done,Done,Selesai,เสร็จสิ้น,Hoàn thành,Selesai,,,,,,
头像-选择本地相册,相机胶卷,SelectPhotoPage_Album,Album,Film kamera,แกลเลอรีรูปภาพ,Cuộn camera,Foto Kamera,,,,,,
,取消,SelectPhotoPage_Cancle,Cancel,Batalkan,ยกเลิก,Hủy,Batal,,,,,,
,确定,SelectPhotoPage_Done,Done,Tentukan,ยืนยัน,Xác nhận,Pasti,,,,,,
选择国家赛区,选择国家赛区,SelectCountryPage_SelectCountry,Select Country Division,Pilih divisi nasional,เลือกภูมิภาคและประเทศ,Chọn quốc gia,Pilih Negara,,,,,,
,当前定位国家,SelectCountryPage_Location,Location,Negara posisi saat ini,ประเทศที่กำหนดตามตำแหน่งปัจจุบัน,Quốc gia định vị hiện tại,Negara Lokasi Anda,,,,,,
,热门国家,SelectCountryPage_Hot,Hot,Negara yang populer,ประเทศยอดนิยม,Quốc gia được chọn nhiều,Negara Popular,,,,,,
,其他国家,SelectCountryPage_Other,Other,Negara lain,ประเทศอื่น ๆ ,Quốc gia khác,Negara Lain,,,,,,
,国家赛区是不可重置项，请确认,SelectCountryPage_Tips,The country division cannot be reset. Please confirm your choice.,"Divisi Nasional tidak dapat disetel ulang, harap konfirmasikan",รายการภูมิภาคและประเทศเป็นรายการที่รีเซ็ตมิได้ กรุณายืนยันอีกครั้ง,"Quốc gia không thể cài đặt lại, hãy xác nhận","Negara tidak boleh diubah nanti, sila pastikan",,,,,,
,点击重新获取,SelectCountryPage_TapToRegain,Tap to regain,Klik untuk kembali,คลิกเพื่อรับใหม่อีกครั้ง,Nhấp vào lấy lại,Tekan untuk mendapat sekali lagi,,,,,,
注册页错误提示,20个字符以内，必填项,RegisterPage_UserNameTips,"Within 20 characters, required","Dalam 20 karakter, diperlukan",ต้องไม่เกิน 20 อักษรและห้ามเว้นว่าง,"Trong khoảng 20 ký tự, bắt buộc điền","Tidak boleh melebihi 20 huruf, wajib diisi",,,,,,
,请填写用户名,RegisterPage_FillUserName,Please fill in the username,Silakan isi nama pengguna,กรุณากรอกชื่อผู้ใช้,Hãy điền tên người dùng,Sila Isikan Nama Pengguna,,,,,,
,请填写生日,RegisterPage_FillBirthday,Please fill in the date of birth,Harap isi ulang tahun,กรุณากรอกวันเดือนปีเกิด,Hãy điền ngày sinh,Sila Isikan Hari Lahir,,,,,,
,请选择国家赛区,RegisterPage_Selectcountry,Please select the country division,Silakan pilih divisi nasional,กรุณาเลือกภูมิภาคและประเทศ,Hãy chọn quốc gia,Sila Pilih Negara,,,,,,
,请选择性别,RegisterPage_FillGender,Please select the gender,Silakan pilih jenis kelamin,กรุณาเลือกเพศ,Hãy chọn giới tính,Sila Pilih Jantina,,,,,,
